i,unbalanced-total,balanced-total,unbalanced-scaled,balanced-scaled
0,8991.0,225164.0,0.10761349627164897,0.0783462539492547
1,2263.0,17134.0,0.027085901686435505,0.005961808793441802
2,3714.0,47783.0,0.04445295575051766,0.01662618825592562
3,4321.0,8103.0,0.05171815341895175,0.0028194546896964465
4,3616.0,23416.0,0.0432799913823026,0.008147642973458226
5,4897.0,93381.0,0.05861231133825659,0.032492101490626174
6,4497.0,70247.0,0.05382470167207268,0.02444258096841988
7,15598.0,181586.0,0.1866928389328418,0.06318320366323818
8,8523.0,698821.0,0.10201199296221379,0.2431561330011552
9,6082.0,737700.0,0.07279560497432644,0.2566841570515943
10,16844.0,442411.0,0.2016062430430047,0.15393777227240463
11,1741.0,65012.0,0.020838071072065496,0.02262105248507286
12,713.0,119174.0,0.00853391422997283,0.04146682626062993
13,410.0,26672.0,0.004907299907838514,0.009280574538267757
14,0.0,7189.0,0.0,0.0025014266030146557
15,0.0,1484.0,0.0,0.0005163607009144178
16,0.0,48609.0,0.0,0.016913596570585533
17,0.0,44203.0,0.0,0.015380520257762808
18,0.0,6036.0,0.0,0.002100237999137079
19,0.0,144.0,0.0,5.010508149034781e-05
20,0.0,1317.0,0.0,0.00045825272446380603
21,0.0,220.0,0.0,7.654943005469805e-05
22,0.0,64.0,0.0,2.226892510682125e-05
23,0.0,150.0,0.0,5.2192793219112306e-05
24,0.0,12.0,0.0,4.1754234575289845e-06
25,0.0,4371.0,0.0,0.0015208979944049325
26,0.0,1464.0,0.0,0.0005094016618185361
27,5.0,3.0,5.984512082729895e-05,1.0438558643822461e-06
28,77.0,60.0,0.0009216148607404038,2.087711728764492e-05
29,61.0,21.0,0.0007301104740930472,7.306991050675723e-06
30,549.0,42.0,0.006570994266837425,1.4613982101351446e-05
31,647.0,1967.0,0.007743958635052484,0.0006844214950799594
