i,unbalanced-total,balanced-total,unbalanced-scaled,balanced-scaled
0,2371.0,34341.0,0.0727702412374931,0.08557715550217176
1,1750.0,3593.0,0.05371063777545884,0.00895369149760645
2,962.0,2175.0,0.029525504879995088,0.005420060953880888
3,735.0,4089.0,0.022558467865692714,0.01018971459329607
4,864.0,8663.0,0.026517709164569393,0.021588040479756383
5,2534.0,37396.0,0.0777730034988644,0.09319016065808262
6,3333.0,61072.0,0.10229574611748818,0.1521903276208798
7,3166.0,90609.0,0.09717021668405869,0.22579600136560615
8,3636.0,43104.0,0.1115953594008962,0.10741439418670427
9,1067.0,48690.0,0.03274814314652262,0.12133460590549906
10,5592.0,22075.0,0.1716285065373519,0.05501050370433131
11,3191.0,5472.0,0.09793751150942238,0.013636125765349987
12,177.0,6611.0,0.00543244736357498,0.01647449331775014
13,29.0,4328.0,0.0008900619974218894,0.010785298302711027
14,0.0,3954.0,0.0,0.00985329701684829
15,0.0,5131.0,0.0,0.012786359887063373
16,0.0,10765.0,0.0,0.026826186744150694
17,0.0,2373.0,0.0,0.005913473399337631
18,0.0,5730.0,0.0,0.01427905713367241
19,0.0,204.0,0.0,0.0005083643377433109
20,0.0,172.0,0.0,0.0004286209122149484
21,0.0,122.0,0.0,0.000304021809826882
22,0.0,2.0,0.0,4.983964095522656e-06
23,0.0,368.0,0.0,0.0009170493935761687
24,28.0,0.0,0.0008593702044073415,0.0
25,624.0,181.0,0.019151678841077897,0.00045104875064480034
26,508.0,0.0,0.015591430851390338,0.0
27,520.0,0.0,0.015959732367564913,0.0
28,519.0,2.0,0.015929040574550364,4.983964095522656e-06
29,473.0,8.0,0.01451721809588116,1.9935856382090623e-05
30,337.0,41.0,0.010343134245902646,0.00010217126395821444
31,166.0,16.0,0.005094837640414953,3.9871712764181245e-05
